"","X","RoleID","PlayerID","PlayerGlobalID","Type","GroupID","Condition","Task","Order","Accuracy","Turn","All_Content","StartTimes","EndTimes","Starts","Ends","gap","convos","information","grounds","claim","organization","query","social","strategy"
"2994",2257,2,2,22,"Conversation",6,"VR","Murder",2,1,74,"OK, so then. Yeah, because I mean for me it's also. It says that Mr. Kelley went to the mr. Scott's apartment. And then. So how how do we do it?","365.5253-369.92-376.5973-380.3306","367.0826-375.8293-377.2586-381.4826",365.5253,381.4826,-1.9413,2,0,0,0,0,1,0,0
"2995",2258,1,4,24,"Conversation",6,"VR","Murder",2,1,75,"Is there a time?","380.3946","381.184",380.3946,381.184,-1.088,2,0,0,0,0,1,0,0
"2996",2259,2,2,22,"Conversation",6,"VR","Murder",2,1,76,"Is it?","387.8826","388.3093",387.8826,388.3093,6.6986,2,0,0,0,0,1,0,0
"2997",2260,4,6,21,"Conversation",6,"VR","Murder",2,1,77,"So.","388.7146","389.312",388.7146,389.312,0.4053,2,0,0,0,0,0,0,0
"2998",2261,2,2,22,"Conversation",6,"VR","Murder",2,1,78,"Belong to belong is? It's not. It's not mine. They're no, it's not mine.","389.312","393.664",389.312,393.664,0,2,0,0,0,0,1,0,0
"2999",2262,4,6,21,"Conversation",6,"VR","Murder",2,1,79,"OK, then let's do it this way. OK, as this we do it this way.","394.2186","398.272",394.2186,398.272,0.5546,2,0,0,0,0,0,0,0
"3000",2263,2,2,22,"Conversation",6,"VR","Murder",2,1,80,"No, it's fine, but why are you trying to belong?","395.008","397.1413",395.008,397.1413,-3.264,2,0,0,0,0,1,0,0
"3001",2264,4,6,21,"Conversation",6,"VR","Murder",2,1,81,"We have this one here. We take away this. All right, and we take away this hang on, hang on, hang on so hush hashita can you put back this one?","399.2106-401.3866-404.8","400.8106-402.688-413.3333",399.2106,413.3333,2.0693,2,0,0,0,0,1,1,1
"3002",2265,3,3,23,"Conversation",6,"VR","Murder",2,1,82,"Ohh Mr. Kelley.","407.3386","408.1493",407.3386,408.1493,-5.9947,2,0,0,0,0,0,0,0
"3003",2266,4,6,21,"Conversation",6,"VR","Murder",2,1,83,"So she went to the apartment.","414.1013","416.5546",414.1013,416.5546,5.952,2,0,0,0,0,0,0,0
"3004",2267,1,4,24,"Conversation",6,"VR","Murder",2,1,84,"Went to","417.5573","418.1546",417.5573,418.1546,1.0027,2,0,0,0,0,0,0,0
"3005",2268,4,6,21,"Conversation",6,"VR","Murder",2,1,85,"Yeah. So that we can tie it to the correct time. OK. Yep, that's right.","417.92-419.0933-423.808-427.648","418.1546-421.2693-424.128-429.056",417.92,429.056,-0.2346,2,0,0,0,0,1,0,0
"3006",2269,3,3,23,"Conversation",6,"VR","Murder",2,1,86,"And I have Mr. Kelley here.","428.672","430.912",428.672,430.912,-0.384,2,0,0,0,0,0,0,0
"3007",2270,4,6,21,"Conversation",6,"VR","Murder",2,1,87,"Hang on, hang on so. Hashita, we just get your this one here.","431.9146-435.8186","434.2826-438.8693",431.9146,438.8693,1.0026,2,0,0,0,0,0,0,0
"3008",2271,2,2,22,"Conversation",6,"VR","Murder",2,1,88,"Looks fine.","436.16","436.7146",436.16,436.7146,-2.7093,2,0,0,0,0,0,0,0
"3009",2272,4,6,21,"Conversation",6,"VR","Murder",2,1,89,"Yeah. OK, I got it. OK, very good. Yep, Melody.","449.024-453.3973-458.3253","449.2586-453.952-460.6506",449.024,460.6506,12.3094,3,0,0,0,0,0,0,0
"3010",2273,3,3,23,"Conversation",6,"VR","Murder",2,1,90,"Yes. Uh, I want to say I want to move Mr. Kelley to here.","462.208-464.128","462.6773-468.2666",462.208,468.2666,1.5574,3,0,0,0,1,0,0,0
"3011",2274,4,6,21,"Conversation",6,"VR","Murder",2,1,91,"Yeah this is Mr. Kelley already.","469.504","471.2746",469.504,471.2746,1.2374,3,0,0,0,0,0,0,0
"3012",2275,3,3,23,"Conversation",6,"VR","Murder",2,1,92,"Because this, yes, here is my clue. Mr. Kelley belongs to the blood was found in the car and this car belonged to Mr. Scott.","470.592","480.6613",470.592,480.6613,-0.6826,3,1,0,0,0,0,0,0
"3013",2276,4,6,21,"Conversation",6,"VR","Murder",2,1,93,"Yeah. OK, so. Let's do it one.","473.7066-481.4293-483.712","473.9626-483.0293-484.48",473.7066,484.48,-6.9547,3,0,0,0,0,0,0,0
"3014",2277,3,3,23,"Conversation",6,"VR","Murder",2,1,94,"Maybe we can. Yes.","484.1173-488.1066","484.9493-488.64",484.1173,488.64,-0.3627,3,0,0,0,0,0,0,0
"3015",2278,4,6,21,"Conversation",6,"VR","Murder",2,1,95,"OK.","499.264","499.2853",499.264,499.2853,10.624,4,0,0,0,0,0,0,0
"3016",2279,3,3,23,"Conversation",6,"VR","Murder",2,1,96,"Ohh OK yeah.","500.3093","502.2506",500.3093,502.2506,1.024,4,0,0,0,0,0,0,0
"3017",2280,4,6,21,"Conversation",6,"VR","Murder",2,1,97,"Asiz I need you to be ready with the when to.","503.424","507.0933",503.424,507.0933,1.1734,4,0,0,0,0,1,0,0
"3018",2281,2,2,22,"Conversation",6,"VR","Murder",2,1,98,"Yes.","506.752","506.944",506.752,506.944,-0.3413,4,0,0,0,0,0,0,0
"3019",2282,4,6,21,"Conversation",6,"VR","Murder",2,1,99,"OK, so I'm going to put this next to you and we're gonna take this off.","507.9253","512.0853",507.9253,512.0853,0.9813,4,0,0,0,0,0,0,0
"3020",2283,2,2,22,"Conversation",6,"VR","Murder",2,1,100,"Yeah.","509.9946","510.5706",509.9946,510.5706,-2.0907,4,0,0,0,0,0,0,0
"3021",2284,4,6,21,"Conversation",6,"VR","Murder",2,1,101,"Ohh it maybe we have to take the string off first OK, got it.","516.5226-521.4933","518.4853-521.9626",516.5226,521.9626,5.952,4,0,0,0,0,0,0,1
"3022",2285,3,3,23,"Conversation",6,"VR","Murder",2,1,102,"OK, done.","523.904","524.5653",523.904,524.5653,1.9414,4,0,0,0,0,0,0,0
"3023",2286,4,6,21,"Conversation",6,"VR","Murder",2,1,103,"OK melody, I need you to slow down OK because it's gonna take more time if you rush.","526.208","531.776",526.208,531.776,1.6427,4,0,0,0,0,0,1,1
"3024",2287,3,3,23,"Conversation",6,"VR","Murder",2,1,104,"OK.","530.496","530.944",530.496,530.944,-1.28,4,0,0,0,0,0,0,0
"3025",2288,4,6,21,"Conversation",6,"VR","Murder",2,1,105,"OK. All right? So let's go through what Melody has added. So Mr. Kelley, we have said was at the apartment at 12:22, right? And the apartment belongs to Mr. Scott. Right, do we have another one for belong to? I think this belong to. We should have one here as well.","532.5013-534.8266-536.6187-546.5173-549.44","532.6506-535.2533-545.2373-548.7573-555.0293",532.5013,555.0293,1.5573,4,0,0,0,1,1,0,0
"3026",2289,3,3,23,"Conversation",6,"VR","Murder",2,1,106,"Mr. Scott.","549.696","550.6346",549.696,550.6346,-5.3333,4,0,0,0,0,0,0,0
"3027",2290,2,2,22,"Conversation",6,"VR","Murder",2,1,107,"We","554.8586","554.8586",554.8586,554.8586,4.224,4,0,0,0,0,0,0,0
"3028",2291,4,6,21,"Conversation",6,"VR","Murder",2,1,108,"OK.","556.3306","556.544",556.3306,556.544,1.472,4,0,0,0,0,0,0,0
"3029",2292,2,2,22,"Conversation",6,"VR","Murder",2,1,109,"we can add.","556.864","557.4613",556.864,557.4613,0.32,4,0,0,0,1,0,0,0
"3030",2293,4,6,21,"Conversation",6,"VR","Murder",2,1,110,"Yeah, let's do that.","557.7386","558.9973",557.7386,558.9973,0.2773,4,0,0,0,0,0,0,0
"3031",2294,2,2,22,"Conversation",6,"VR","Murder",2,1,111,"I think I.","561.1946","561.664",561.1946,561.664,2.1973,4,0,0,0,0,0,0,0
"3032",2295,4,6,21,"Conversation",6,"VR","Murder",2,1,112,"All right?","561.4293","561.8133",561.4293,561.8133,-0.2347,4,0,0,0,0,1,0,0
"3033",2296,2,2,22,"Conversation",6,"VR","Murder",2,1,113,"Well for some reason I had belonged to, but it's I cannot take it separately.","563.072","568.064",563.072,568.064,1.2587,4,0,0,0,0,0,0,0
"3034",2297,4,6,21,"Conversation",6,"VR","Murder",2,1,114,"Yeah, perfect, don't worry as this has it I I've got it. Don't worry.","566.592","571.0506",566.592,571.0506,-1.472,4,0,0,0,0,0,0,0
"3035",2298,3,3,23,"Conversation",6,"VR","Murder",2,1,115,"Also have to belong to, I can.","566.7413","568.832",566.7413,568.832,-4.3093,4,0,0,0,0,0,0,0
"3036",2299,2,2,22,"Conversation",6,"VR","Murder",2,1,116,"Ohh","569.5573","569.664",569.5573,569.664,0.7253,4,0,0,0,0,0,0,0
"3037",2300,3,3,23,"Conversation",6,"VR","Murder",2,1,117,"OK.","570.9226","571.5413",570.9226,571.5413,1.2586,4,0,0,0,0,0,0,0
"3038",2301,4,6,21,"Conversation",6,"VR","Murder",2,1,118,"OK, so Mr. Kelley. Belong to the blood. So Mr. Kelley's blood was found in the car that belongs to Mr. Scott.","572.1173-575.7226-577.6213","574.656-576.9813-582.8053",572.1173,582.8053,0.576,4,1,0,0,0,0,0,0
"3039",2302,3,3,23,"Conversation",6,"VR","Murder",2,1,119,"Yes.","581.312","581.8453",581.312,581.8453,-1.4933,4,0,0,0,0,0,0,0
"3040",2303,4,6,21,"Conversation",6,"VR","Murder",2,1,120,"OK, very good. OK? What else do we have?","583.424","586.4746",583.424,586.4746,1.5787,4,0,0,0,0,1,0,0
"3041",2304,3,3,23,"Conversation",6,"VR","Murder",2,1,121,"Yes.","584","584.5546",584,584.5546,-2.4746,4,0,0,0,0,0,0,0
"3042",2305,4,6,21,"Conversation",6,"VR","Murder",2,1,122,"Does anybody else have info?","591.5946","592.9813",591.5946,592.9813,7.04,4,0,0,0,0,1,0,0
"3043",2306,2,2,22,"Conversation",6,"VR","Murder",2,1,123,"Wait, they they belong to is it? The car the car belongs to.","592.32-595.0506","593.984-597.0773",592.32,597.0773,-0.6613,4,0,0,0,0,1,0,0
"3044",2307,3,3,23,"Conversation",6,"VR","Murder",2,1,124,"Yeah, the car belongs to the Mr. Scott and the.","598.6133","601.408",598.6133,601.408,1.536,4,0,0,0,0,0,0,0
"3045",2308,2,2,22,"Conversation",6,"VR","Murder",2,1,125,"What what is that like Mr. Kelley belonged to blood?","602.1333","604.8",602.1333,604.8,0.7253,4,0,0,0,0,1,0,0
"3046",2309,4,6,21,"Conversation",6,"VR","Murder",2,1,126,"Yeah. That means his blood was in the car. Right?","604.8213-606.1226-610.7093","605.3546-608.2773-610.944",604.8213,610.944,0.0213,4,0,0,0,0,1,0,0
"3047",2310,3,3,23,"Conversation",6,"VR","Murder",2,1,127,"Yeah.","610.752","611.2426",610.752,611.2426,-0.192,4,0,0,0,0,0,0,0
"3048",2311,2,2,22,"Conversation",6,"VR","Murder",2,1,128,"The the mr. Kelley's blood.","611.52","612.8",611.52,612.8,0.2774,4,0,0,0,0,0,0,0
"3049",2312,4,6,21,"Conversation",6,"VR","Murder",2,1,129,"Yeah mr. Kelley's blood right Melody.","612.992","615.0613",612.992,615.0613,0.192,4,0,0,0,0,1,0,0
"3050",2313,2,2,22,"Conversation",6,"VR","Murder",2,1,130,"OK.","616.0213","616.256",616.0213,616.256,0.96,4,0,0,0,0,0,0,0
"3051",2314,3,3,23,"Conversation",6,"VR","Murder",2,1,131,"Yes, OK, I will do it.","616.7253","620.0533",616.7253,620.0533,0.4693,4,0,0,0,0,0,0,0
"3052",2315,4,6,21,"Conversation",6,"VR","Murder",2,1,132,"Yep. OK. Does anybody else have other information they want to put? OK, Hashita you have something going on here as well.","620.416-622.4213-624.128-629.696","620.6506-622.8906-626.3893-632.2986",620.416,632.2986,0.3627,4,0,0,0,0,1,0,0
"3053",2316,1,4,24,"Conversation",6,"VR","Murder",2,1,133,"I have Mr. Kelley went to Mr. John's apartment at 11:55.","631.808","638.528",631.808,638.528,-0.4906,4,0,0,0,0,0,0,0
"3054",2317,2,2,22,"Conversation",6,"VR","Murder",2,1,134,"Uh. I I wonder, I'm sorry.","632.064-634.3253","632.7893-636.0746",632.064,636.0746,-6.464,4,0,0,0,0,0,0,0
"3055",2318,4,6,21,"Conversation",6,"VR","Murder",2,1,135,"OK, so we're gonna add Hashita's work to it. So Mr. Kelley.","639.1253","644.9066",639.1253,644.9066,3.0507,4,0,0,0,1,0,0,0
"3056",2319,1,4,24,"Conversation",6,"VR","Murder",2,1,136,"Mr. Kelley.","641.6426","642.6453",641.6426,642.6453,-3.264,4,0,0,0,0,0,0,0
"3057",2320,4,6,21,"Conversation",6,"VR","Murder",2,1,137,"Went to","646.1866","646.848",646.1866,646.848,3.5413,4,0,0,0,0,0,0,0
"3058",2321,1,4,24,"Conversation",6,"VR","Murder",2,1,138,"Went to","647.4453","648.1707",647.4453,648.1707,0.5973,4,0,0,0,0,0,0,0
"3059",2322,4,6,21,"Conversation",6,"VR","Murder",2,1,139,"Mr. Jones.","648.192","649.152",648.192,649.152,0.0213,4,0,0,0,0,0,0,0
"3060",2323,1,4,24,"Conversation",6,"VR","Murder",2,1,140,"Mr. Jones apartment.","649.216","651.072",649.216,651.072,0.064,4,0,0,0,0,0,0,0
"3061",2324,4,6,21,"Conversation",6,"VR","Murder",2,1,141,"At.","651.7973","652.032",651.7973,652.032,0.7253,4,0,0,0,0,0,0,0
"3062",2325,1,4,24,"Conversation",6,"VR","Murder",2,1,142,"At 11:55","652.416","653.9733",652.416,653.9733,0.384,4,0,0,0,0,0,0,0
"3063",2326,4,6,21,"Conversation",6,"VR","Murder",2,1,143,"OK, so Mr. Jones is a completely different person, yeah? Let's put it here.","652.992-657.408","655.9786-658.176",652.992,658.176,-0.9813,4,0,0,0,0,1,0,0
"3064",2327,1,4,24,"Conversation",6,"VR","Murder",2,1,144,"yeah.","658.24","658.4746",658.24,658.4746,0.064,4,0,0,0,0,0,0,0
"3065",2328,4,6,21,"Conversation",6,"VR","Murder",2,1,145,"All right? OK. No so. Mr. Jones and Mr. Kelley went to Mr. Jones apartment, right?","659.6906-663.8293-672.5973-676.3306","660.0533-664.0426-675.1786-681.0026",659.6906,681.0026,1.216,4,0,0,0,0,1,0,0
"3066",2329,3,3,23,"Conversation",6,"VR","Murder",2,1,146,"Oh Mr. Jones.","681.536","682.688",681.536,682.688,0.5334,4,0,0,0,0,0,0,0
"3067",2330,4,6,21,"Conversation",6,"VR","Murder",2,1,147,"Right? Mr. Kelley went to Mr. Jones apartment. Correct?","685.184-689.024-692.2453","685.376-691.1786-692.544",685.184,692.544,2.496,4,0,0,0,0,1,0,0
"3068",2331,1,4,24,"Conversation",6,"VR","Murder",2,1,148,"At 11:55","696.2986","697.7706",696.2986,697.7706,3.7546,4,0,0,0,0,0,0,0
"3069",2332,4,6,21,"Conversation",6,"VR","Murder",2,1,149,"1155.0 we need some verbs and tenses. Or else later, we're going to forget. Yeah.","703.5733-706.0053-710.5067","704.768-709.4827-710.656",703.5733,710.656,5.8027,4,0,0,0,0,0,0,0
"3070",2333,1,4,24,"Conversation",6,"VR","Murder",2,1,150,"yeah, it's went too.","711.616","712.384",711.616,712.384,0.96,4,0,0,0,0,0,0,0
"3071",2334,4,6,21,"Conversation",6,"VR","Murder",2,1,151,"OK.","712.192","712.7467",712.192,712.7467,-0.192,4,0,0,0,0,0,0,0
"3072",2335,2,2,22,"Conversation",6,"VR","Murder",2,1,152,"So so far we have four people, like mr. Kelley's wife, Mr. Scott. Mr. Kelley himself.","725.76-731.264","730.3253-732.928",725.76,732.928,13.0133,5,0,0,0,0,0,0,0
"3073",2336,3,3,23,"Conversation",6,"VR","Murder",2,1,153,"Jones and. Yes.","732.928-734.336","733.6747-734.848",732.928,734.848,0,5,0,0,0,0,0,0,0
"3074",2337,2,2,22,"Conversation",6,"VR","Murder",2,1,154,"Mr. Mr. Jones, right?","735.3813","736.6613",735.3813,736.6613,0.5333,5,0,0,0,0,1,0,0
"3075",2338,4,6,21,"Conversation",6,"VR","Murder",2,1,155,"Yep.","736.96","737.152",736.96,737.152,0.2987,5,0,0,0,0,0,0,0
"3076",2339,3,3,23,"Conversation",6,"VR","Murder",2,1,156,"Yes.","737.1947","737.6427",737.1947,737.6427,0.0427,5,0,0,0,0,0,0,0
"3077",2340,2,2,22,"Conversation",6,"VR","Murder",2,1,157,"OK.","739.1787","739.5627",739.1787,739.5627,1.536,5,0,0,0,0,0,0,0
"3078",2341,4,6,21,"Conversation",6,"VR","Murder",2,1,158,"OK, anything else?","741.4827","743.1253",741.4827,743.1253,1.92,5,0,0,0,0,1,0,0
"3079",2342,2,2,22,"Conversation",6,"VR","Murder",2,1,159,"Why you're building like so low there?","745.1733","747.072",745.1733,747.072,2.048,5,0,0,0,0,1,0,0
"3080",2343,3,3,23,"Conversation",6,"VR","Murder",2,1,160,"mr. Kelley's blood was founded on the car park carpets. Uh in the hall, outside the Mr. Jones apartment.","749.248","759.104",749.248,759.104,2.176,5,1,0,0,0,0,0,0
"3081",2344,4,6,21,"Conversation",6,"VR","Murder",2,1,161,"OK.","759.7867","759.872",759.7867,759.872,0.6827,5,0,0,0,0,0,0,0
"3082",2345,3,3,23,"Conversation",6,"VR","Murder",2,1,162,"So Mr. Jones apartment.","759.9147","761.7707",759.9147,761.7707,0.0427,5,0,0,0,0,0,0,0
"3083",2346,4,6,21,"Conversation",6,"VR","Murder",2,1,163,"OK, so Mr. Kelley's blood.","763.072","765.2907",763.072,765.2907,1.3013,5,0,0,0,0,0,0,0
"3084",2347,3,3,23,"Conversation",6,"VR","Murder",2,1,164,"Mr. Kelley's","763.8187","764.4587",763.8187,764.4587,-1.472,5,0,0,0,0,0,0,0
"3085",2348,4,6,21,"Conversation",6,"VR","Murder",2,1,165,"Was found at Mr. Jones apartment.","766.3573","768.0853",766.3573,768.0853,1.8986,5,0,0,0,0,0,0,0
"3086",2349,3,3,23,"Conversation",6,"VR","Murder",2,1,166,"Yes.","766.912","767.424",766.912,767.424,-1.1733,5,0,0,0,0,0,0,0
"3087",2350,4,6,21,"Conversation",6,"VR","Murder",2,1,167,"Right?","768.96","768.96",768.96,768.96,1.536,5,0,0,0,0,1,0,0
"3088",2351,3,3,23,"Conversation",6,"VR","Murder",2,1,168,"Yes.","769.7067","770.3253",769.7067,770.3253,0.7467,5,0,0,0,0,0,0,0
"3089",2352,4,6,21,"Conversation",6,"VR","Murder",2,1,169,"Melody you wanna do that? Because you have the.","771.9893-774.5707","772.6507-775.168",771.9893,775.168,1.664,5,0,0,0,0,1,0,0
"3090",2353,3,3,23,"Conversation",6,"VR","Murder",2,1,170,"OK. Uh.","774.72-776.128","775.0613-776.3627",774.72,776.3627,-0.448,5,0,0,0,0,0,0,0
"3091",2354,4,6,21,"Conversation",6,"VR","Murder",2,1,171,"Hang on, hang on Asiz don't move anything, yeah.","776.4907","778.9013",776.4907,778.9013,0.128,5,0,0,0,1,0,0,0
"3092",2355,3,3,23,"Conversation",6,"VR","Murder",2,1,172,"I will do that.","777.4293","778.176",777.4293,778.176,-1.472,5,0,0,0,0,0,0,0
"3093",2356,2,2,22,"Conversation",6,"VR","Murder",2,1,173,"I'm moving a bit far because I'm already on the wall here.","780.8","783.3173",780.8,783.3173,2.624,5,0,0,0,1,0,0,0
"3094",2357,4,6,21,"Conversation",6,"VR","Murder",2,1,174,"OK. OK, why don't you back off then? Don't worry about it. We we have we can manage this side Don't worry.","780.8853-783.4027","781.1627-787.84",780.8853,787.84,-2.432,5,0,0,0,0,1,0,0
"3095",2358,3,3,23,"Conversation",6,"VR","Murder",2,1,175,"Blood was found on the carpet.","789.6747","791.7653",789.6747,791.7653,1.8347,5,1,0,0,0,0,0,0
"3096",2359,4,6,21,"Conversation",6,"VR","Murder",2,1,176,"Yep.","799.1893","799.36",799.1893,799.36,7.424,5,0,0,0,0,0,0,0
"3097",2360,3,3,23,"Conversation",6,"VR","Murder",2,1,177,"Was founded.","800.32","801.472",800.32,801.472,0.96,5,0,0,0,0,0,0,0
"3098",2361,4,6,21,"Conversation",6,"VR","Murder",2,1,178,"Yep. Of this guy's apartment right?","806.0587-807.168","806.2507-808.5547",806.0587,808.5547,4.5867,5,0,0,0,0,1,0,0
"3099",2362,3,3,23,"Conversation",6,"VR","Murder",2,1,179,"Yes, let me check.","810.8373","812.4587",810.8373,812.4587,2.2826,5,0,0,0,0,0,0,0
"3100",2363,4,6,21,"Conversation",6,"VR","Murder",2,1,180,"Sure.","812.992","813.2693",812.992,813.2693,0.5333,5,0,0,0,0,0,0,0
"3101",2364,3,3,23,"Conversation",6,"VR","Murder",2,1,181,"In the hall outside in the hall Outside the outside. Apartment. Outside the apartment.","814.8267-818.7307-826.304-829.0347","817.1733-822.1653-827.456-830.72",814.8267,830.72,1.5574,5,0,0,0,0,0,0,0
"3102",2365,4,6,21,"Conversation",6,"VR","Murder",2,1,182,"Outside OK.","829.3547-831.0613","829.376-831.488",829.3547,831.488,-1.3653,5,0,0,0,0,0,0,0
"3103",2366,3,3,23,"Conversation",6,"VR","Murder",2,1,183,"OK.","838.3147","838.5707",838.3147,838.5707,6.8267,5,0,0,0,0,0,0,0
"3104",2367,4,6,21,"Conversation",6,"VR","Murder",2,1,184,"OK.","838.4853","838.8907",838.4853,838.8907,-0.0854,5,0,0,0,0,0,0,0
"3105",2368,3,3,23,"Conversation",6,"VR","Murder",2,1,185,"Done.","839.7013","839.936",839.7013,839.936,0.8106,5,0,0,0,0,0,0,0
"3106",2369,4,6,21,"Conversation",6,"VR","Murder",2,1,186,"Hashita, is there anything you want to put in?","845.2693","847.168",845.2693,847.168,5.3333,5,0,0,0,1,1,0,0
"3107",2370,3,3,23,"Conversation",6,"VR","Murder",2,1,187,"out in the hall","848.4693","849.9627",848.4693,849.9627,1.3013,5,0,0,0,0,0,0,0
"3108",2371,4,6,21,"Conversation",6,"VR","Murder",2,1,188,"Miss Smith","850.3893","851.1787",850.3893,851.1787,0.4266,5,0,0,0,0,0,0,0
"3109",2372,1,4,24,"Conversation",6,"VR","Murder",2,1,189,"It's Miss Smith followed Mr. Kelley.","851.0293","854.5707",851.0293,854.5707,-0.1494,5,0,0,0,0,0,0,0
"3110",2373,4,6,21,"Conversation",6,"VR","Murder",2,1,190,"often followed Mr. Kelley. So. We have to. Because this guy is already there, right? So Mr. Kelley is here. This lady.","851.9893-854.592-857.152-859.5627-864.6827","853.3547-856.1707-858.2187-863.5733-865.344",851.9893,865.344,-2.5814,5,0,0,0,1,1,0,0
"3111",2374,3,3,23,"Conversation",6,"VR","Murder",2,1,191,"Mr. Kelley's blood.","868.736","870.976",868.736,870.976,3.392,5,0,0,0,0,0,0,0
"3112",2375,4,6,21,"Conversation",6,"VR","Murder",2,1,192,"OK. All right? Melody do you have anymore you wanna put on? You should be almost done, right?","877.248-878.3787-879.6587","877.248-878.6347-883.1787",877.248,883.1787,6.272,5,0,0,1,0,1,0,0
"3113",2376,3,3,23,"Conversation",6,"VR","Murder",2,1,193,"Yeah I should. I almost done. Another is Mr. Kelley's body was found at 1:30 AM. So it's all here. His body, this person, mr. Kelley's body, was found. Now it's not nobody, right?","884.5227-893.5253","892.8853-901.3547",884.5227,901.3547,1.344,5,1,0,0,0,1,0,0
"3114",2377,4,6,21,"Conversation",6,"VR","Murder",2,1,194,"Yeah, nobody.","902.4853","903.552",902.4853,903.552,1.1306,5,0,0,0,0,0,0,0
"3115",2378,3,3,23,"Conversation",6,"VR","Murder",2,1,195,"Here is body. His body was found. At 1:30 AM.","903.0187-907.584","905.856-909.1413",903.0187,909.1413,-0.5333,5,1,0,0,0,0,0,0
"3116",2379,4,6,21,"Conversation",6,"VR","Murder",2,1,196,"Hang on.","909.7813","910.208",909.7813,910.208,0.64,5,0,0,0,0,0,0,0
"3117",2380,2,2,22,"Conversation",6,"VR","Murder",2,1,197,"So the dead body is Mr. Kelley?","915.52","916.864",915.52,916.864,5.312,5,0,0,0,0,1,0,0
"3118",2381,3,3,23,"Conversation",6,"VR","Murder",2,1,198,"Yeah Mr. Kelley mr. Kelley's body.","915.648","918.592",915.648,918.592,-1.216,5,0,0,0,0,0,0,0
"3119",2382,4,6,21,"Conversation",6,"VR","Murder",2,1,199,"Mr. Kelley, right.","917.2053","917.8453",917.2053,917.8453,-1.3867,5,0,0,0,0,1,0,0
"3120",2383,3,3,23,"Conversation",6,"VR","Murder",2,1,200,"Yes.","919.424","919.9573",919.424,919.9573,1.5787,5,0,0,0,0,0,0,0
"3121",2384,2,2,22,"Conversation",6,"VR","Murder",2,1,201,"We have Miss Smith as well. Oh my God, there are five people.","925.3973","928.7893",925.3973,928.7893,5.44,5,0,0,0,0,0,0,0
"3122",2385,4,6,21,"Conversation",6,"VR","Murder",2,1,202,"Was found at what time? 0.0625","932.0107-934.1653","933.12-934.6773",932.0107,934.6773,3.2214,5,0,0,0,0,1,0,0
"3123",2386,3,3,23,"Conversation",6,"VR","Murder",2,1,203,"Here was found. Yes, here is what was found.","934.528","938.688",934.528,938.688,-0.1493,5,1,0,0,0,0,0,0
"3124",2387,4,6,21,"Conversation",6,"VR","Murder",2,1,204,"Yep. OK. Anything else?","939.264-943.2747-944.768","939.456-943.4453-945.6213",939.264,945.6213,0.576,5,0,0,0,0,1,0,0
"3125",2388,3,3,23,"Conversation",6,"VR","Murder",2,1,205,"OK. Uh, I can have a rest.","946.496-948.032","946.8587-949.4613",946.496,949.4613,0.8747,5,0,0,0,0,0,0,1
"3126",2389,4,6,21,"Conversation",6,"VR","Murder",2,1,206,"Have you finished everything? OK, Asiz do you want to put something?","948.16-950.6773","949.2053-952.704",948.16,952.704,-1.3013,5,0,0,0,0,1,0,0
"3127",2390,3,3,23,"Conversation",6,"VR","Murder",2,1,207,"Uh, I think I only have two left.","951.5947","954.0907",951.5947,954.0907,-1.1093,5,0,0,0,0,0,0,0
"3128",2391,4,6,21,"Conversation",6,"VR","Murder",2,1,208,"OK.","954.7947","955.1787",954.7947,955.1787,0.704,5,0,0,0,0,0,0,0
"3129",2392,3,3,23,"Conversation",6,"VR","Murder",2,1,209,"two clues left.","955.136","956.48",955.136,956.48,-0.0427,5,0,0,0,0,0,0,0
"3130",2393,2,2,22,"Conversation",6,"VR","Murder",2,1,210,"No, maybe go go ahead first. If you have something.","956.5227","959.3173",956.5227,959.3173,0.0427,5,0,0,1,0,0,0,1
"3131",2394,4,6,21,"Conversation",6,"VR","Murder",2,1,211,"Hush hashita. Do you have anything?","960.256","961.92",960.256,961.92,0.9387,5,0,0,0,0,1,1,0
"3132",2395,1,4,24,"Conversation",6,"VR","Murder",2,1,212,"I have a when the elevator man saw him at 12:15 AM, Mr. Kelley was bleeding slightly but did not seem too badly hurt these two.","964.416","975.232",964.416,975.232,2.496,5,1,0,0,0,1,0,0
"3133",2396,3,3,23,"Conversation",6,"VR","Murder",2,1,213,"Mr. Scott","973.8027","974.848",973.8027,974.848,-1.4293,5,0,0,0,0,0,0,0
"3134",2397,4,6,21,"Conversation",6,"VR","Murder",2,1,214,"OK. So the elevator man is it.","974.4853-975.744","974.6773-977.8987",974.4853,977.8987,-0.3627,5,0,0,0,0,1,0,0
"3135",2398,1,4,24,"Conversation",6,"VR","Murder",2,1,215,"Yeah.","979.52","979.7547",979.52,979.7547,1.6213,5,0,0,0,0,0,0,0
"3136",2399,4,6,21,"Conversation",6,"VR","Murder",2,1,216,"Do you have a? Do you have a noun for the elevator? Man? Are you able to pull out or?","979.6693","985.6213",979.6693,985.6213,-0.0854,5,0,0,0,0,1,0,0
"3137",2400,1,4,24,"Conversation",6,"VR","Murder",2,1,217,"No, it's just 12:15 AM Mr. Kelley and bleeding slightly.","985.0027","990.5493",985.0027,990.5493,-0.6186,5,0,0,0,0,0,0,0
